set N := 1	2	3	4	5	20;
set P := 1	2	3	4	5	6	7	8	9	10;											
set K := 1;		
set V := 1	2	3;	


param sigma
:	1	2 :=
1	0.1	0.9
2	0.2	0.8
3	0.3	0.7
4	0.4	0.6
5	0.5	0.5
6	0.6	0.4
7	0.7	0.3
8	0.8	0.2
9	0.9	0.1
;

param O:= 1;
																
param d :=															
1	0																
2	1000																
3	1000	
4	1000
5	1000
6	1000
7	1000
8	1000
9	1000
10	1000
11	1000
12	1000
13	1000
14	1000															
20	0
;	
														
param q:= 3000;

param LI :=	# mover a horas		
												
1	0
2	0.5
3	1
4	1.5
5	2
6	2.5
7	3
8	3.5
9	4
10	4.5												
;
															
param LS :=	# mover a horas		
												
1	0.4999
2	0.9999
3	1.4999
4	1.9999
5	2.4999
6	2.9999
7	3.4999
8	3.9999
9	4.4999
10	16.7
;

						
param e:=
[*,*,1]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
14	0.120	0.140	0.156	0.165	0.231	0.163	0.186	0.113	0.208	0.139	0.144	0.192	0.136	0.000	0.057
20	0.132	0.125	0.158	0.151	0.241	0.148	0.196	0.101	0.212	0.125	0.132	0.195	0.154	0.029	0.000
															
[*,*,7]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	0.118	0.072	0.080	0.144	0.113	0.103	0.077	0.126	0.100	0.081	0.108	0.055	0.067	0.127
2	0.087	0.000	0.104	0.100	0.177	0.094	0.144	0.042	0.158	0.081	0.071	0.150	0.099	0.118	0.096
3	0.078	0.053	0.000	0.008	0.092	0.041	0.054	0.062	0.074	0.028	0.062	0.055	0.090	0.144	0.143
4	0.078	0.054	0.018	0.000	0.091	0.042	0.053	0.062	0.072	0.029	0.062	0.054	0.090	0.145	0.144
5	0.108	0.110	0.068	0.076	0.000	0.075	0.060	0.118	0.034	0.084	0.118	0.020	0.105	0.173	0.200
6	0.110	0.057	0.068	0.061	0.134	0.000	0.103	0.065	0.117	0.030	0.094	0.098	0.122	0.175	0.147
7	0.079	0.096	0.050	0.058	0.050	0.091	0.000	0.105	0.031	0.078	0.105	0.034	0.076	0.146	0.186
8	0.045	0.053	0.062	0.058	0.137	0.052	0.100	0.000	0.120	0.039	0.029	0.101	0.057	0.112	0.137
9	0.089	0.107	0.060	0.069	0.056	0.098	0.034	0.115	0.000	0.088	0.115	0.040	0.087	0.156	0.197
10	0.080	0.039	0.038	0.031	0.111	0.025	0.073	0.047	0.092	0.000	0.064	0.074	0.092	0.147	0.129
11	0.098	0.077	0.033	0.041	0.125	0.074	0.087	0.085	0.107	0.061	0.000	0.088	0.110	0.163	0.167
12	0.090	0.094	0.048	0.056	0.055	0.089	0.042	0.102	0.036	0.076	0.102	0.000	0.088	0.157	0.184
13	0.079	0.063	0.017	0.025	0.090	0.058	0.052	0.072	0.072	0.045	0.072	0.053	0.000	0.145	0.155
14	0.118	0.141	0.160	0.171	0.228	0.167	0.188	0.116	0.209	0.143	0.141	0.200	0.141	0.000	0.061
20	0.122	0.126	0.153	0.159	0.236	0.154	0.195	0.106	0.216	0.127	0.132	0.208	0.149	0.030	0.000
															
[*,*,8]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	0.125	0.079	0.087	0.143	0.120	0.106	0.073	0.120	0.108	0.081	0.115	0.060	0.066	0.132
2	0.082	0.000	0.101	0.096	0.174	0.091	0.140	0.042	0.152	0.079	0.070	0.140	0.100	0.125	0.105
3	0.101	0.053	0.000	0.008	0.089	0.040	0.057	0.060	0.063	0.029	0.089	0.059	0.105	0.167	0.147
4	0.103	0.055	0.023	0.000	0.087	0.042	0.055	0.062	0.061	0.030	0.090	0.057	0.103	0.169	0.149
5	0.120	0.111	0.070	0.078	0.000	0.064	0.063	0.119	0.033	0.087	0.151	0.020	0.112	0.186	0.207
6	0.112	0.064	0.071	0.058	0.130	0.000	0.103	0.072	0.105	0.036	0.100	0.101	0.129	0.178	0.161
7	0.082	0.100	0.052	0.061	0.046	0.083	0.000	0.108	0.029	0.081	0.119	0.038	0.078	0.149	0.196
8	0.041	0.051	0.059	0.054	0.131	0.049	0.099	0.000	0.105	0.037	0.028	0.101	0.058	0.107	0.141
9	0.095	0.113	0.065	0.073	0.054	0.091	0.036	0.121	0.000	0.094	0.135	0.046	0.091	0.161	0.208
10	0.089	0.041	0.043	0.030	0.107	0.025	0.075	0.049	0.081	0.000	0.077	0.077	0.107	0.156	0.136
11	0.136	0.086	0.042	0.050	0.131	0.083	0.099	0.094	0.106	0.071	0.000	0.101	0.147	0.202	0.185
12	0.100	0.098	0.050	0.058	0.049	0.077	0.043	0.105	0.023	0.078	0.137	0.000	0.092	0.166	0.193
13	0.075	0.067	0.020	0.028	0.090	0.060	0.058	0.075	0.064	0.048	0.103	0.060	0.000	0.141	0.164
14	0.119	0.141	0.160	0.169	0.225	0.167	0.191	0.116	0.203	0.145	0.148	0.192	0.141	0.000	0.067
20	0.130	0.122	0.162	0.153	0.227	0.149	0.197	0.106	0.205	0.124	0.138	0.194	0.151	0.031	0.000
															
[*,*,9]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	0.120	0.075	0.083	0.139	0.115	0.103	0.073	0.129	0.101	0.084	0.116	0.056	0.064	0.127
2	0.083	0.000	0.106	0.096	0.167	0.093	0.138	0.040	0.159	0.079	0.069	0.138	0.096	0.128	0.102
3	0.071	0.047	0.000	0.008	0.085	0.041	0.057	0.054	0.070	0.026	0.057	0.060	0.084	0.134	0.140
4	0.073	0.049	0.020	0.000	0.082	0.043	0.054	0.056	0.067	0.028	0.059	0.056	0.086	0.136	0.143
5	0.107	0.107	0.066	0.074	0.000	0.064	0.060	0.114	0.036	0.081	0.117	0.020	0.094	0.173	0.202
6	0.105	0.061	0.065	0.055	0.127	0.000	0.098	0.068	0.112	0.034	0.091	0.101	0.118	0.170	0.153
7	0.079	0.097	0.052	0.060	0.048	0.082	0.000	0.104	0.032	0.078	0.107	0.038	0.067	0.143	0.190
8	0.042	0.053	0.066	0.056	0.128	0.053	0.099	0.000	0.113	0.039	0.029	0.102	0.056	0.106	0.135
9	0.086	0.104	0.059	0.067	0.051	0.085	0.033	0.111	0.000	0.085	0.114	0.041	0.074	0.151	0.199
10	0.080	0.039	0.040	0.030	0.102	0.027	0.073	0.046	0.087	0.000	0.066	0.076	0.093	0.144	0.132
11	0.091	0.083	0.041	0.049	0.126	0.082	0.098	0.084	0.111	0.067	0.000	0.101	0.105	0.155	0.177
12	0.088	0.094	0.049	0.057	0.044	0.078	0.041	0.101	0.029	0.075	0.104	0.000	0.075	0.152	0.187
13	0.073	0.064	0.018	0.027	0.086	0.059	0.058	0.071	0.071	0.045	0.074	0.060	0.000	0.137	0.157
14	0.126	0.136	0.165	0.170	0.228	0.165	0.196	0.118	0.221	0.138	0.145	0.200	0.148	0.000	0.064
20	0.133	0.123	0.162	0.155	0.223	0.150	0.196	0.103	0.216	0.123	0.131	0.194	0.155	0.030	0.000
															
[*,*,10]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	0.134	0.081	0.090	0.139	0.127	0.108	0.077	0.122	0.113	0.088	0.121	0.060	0.064	0.124
2	0.083	0.000	0.088	0.095	0.159	0.094	0.139	0.040	0.146	0.080	0.067	0.137	0.097	0.126	0.100
3	0.078	0.062	0.000	0.009	0.080	0.046	0.053	0.069	0.061	0.032	0.063	0.061	0.087	0.143	0.161
4	0.079	0.062	0.020	0.000	0.078	0.047	0.051	0.070	0.059	0.033	0.064	0.059	0.085	0.144	0.162
5	0.109	0.117	0.071	0.080	0.000	0.066	0.059	0.125	0.035	0.088	0.118	0.021	0.092	0.175	0.217
6	0.101	0.064	0.062	0.050	0.119	0.000	0.094	0.072	0.100	0.035	0.086	0.099	0.116	0.166	0.163
7	0.084	0.112	0.059	0.068	0.046	0.085	0.000	0.114	0.031	0.091	0.111	0.040	0.068	0.149	0.212
8	0.042	0.056	0.047	0.055	0.125	0.053	0.098	0.000	0.106	0.039	0.027	0.106	0.057	0.106	0.133
9	0.095	0.123	0.070	0.079	0.052	0.091	0.037	0.124	0.000	0.102	0.122	0.046	0.078	0.160	0.222
10	0.079	0.040	0.040	0.028	0.098	0.027	0.072	0.048	0.080	0.000	0.064	0.079	0.094	0.144	0.140
11	0.083	0.071	0.020	0.030	0.101	0.067	0.074	0.074	0.082	0.053	0.000	0.081	0.097	0.148	0.169
12	0.088	0.103	0.050	0.059	0.043	0.080	0.038	0.110	0.025	0.082	0.103	0.000	0.071	0.153	0.201
13	0.079	0.074	0.021	0.030	0.085	0.067	0.058	0.080	0.066	0.053	0.073	0.066	0.000	0.144	0.172
14	0.128	0.141	0.160	0.168	0.227	0.170	0.196	0.114	0.214	0.147	0.138	0.205	0.149	0.000	0.060
20	0.126	0.131	0.152	0.160	0.224	0.155	0.199	0.104	0.210	0.129	0.131	0.201	0.152	0.029	0.000
;															
param g:= 															
#periodo 33															
[*,*,1]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	491.863	767.481	623.682	828.723	950.819	846.917	680.336	711.460	851.261	666.944	688.730	631.570	554.563	0
2	348.098	0.000	411.828	753.515	994.031	962.021	838.799	652.356	699.015	813.179	563.717	792.568	853.936	858.418	844.770
3	318.279	556.074	0.000	31.401	307.722	430.667	352.124	443.647	480.638	330.903	380.388	447.619	498.808	959.312	1238.598
4	316.990	561.419	316.885	0.000	272.127	434.990	361.033	447.453	489.501	334.472	385.015	456.552	506.399	963.929	1243.900
5	468.748	949.088	724.107	557.941	0.000	255.163	475.853	745.799	633.780	515.237	850.364	583.771	473.829	1179.253	1731.568
6	409.683	656.743	486.143	421.031	629.593	0.000	354.169	628.371	690.015	515.330	519.074	691.972	754.234	1155.916	1267.719
7	359.023	799.406	657.847	472.063	424.492	482.688	0.000	447.561	557.479	475.699	787.868	585.526	398.613	948.880	1671.942
8	182.802	390.934	449.121	437.556	646.525	599.323	523.560	0.000	385.199	500.032	248.033	477.342	538.191	718.894	1061.161
9	390.943	857.867	498.270	568.770	352.522	623.576	250.050	939.888	0.000	752.494	939.644	304.361	587.219	1362.794	1729.950
10	329.039	487.544	309.063	241.454	685.806	172.664	526.590	371.692	577.299	0.000	531.152	520.396	703.463	1247.089	1089.190
11	614.451	1393.069	837.377	914.853	1546.318	1248.738	1298.685	1305.322	1350.836	1157.425	0.000	1306.528	1465.737	2080.317	2144.747
12	375.132	767.118	353.648	423.928	277.541	525.636	282.447	839.694	169.195	607.809	822.158	0.000	556.376	1332.031	1575.874
13	333.074	629.171	143.734	214.590	544.873	475.494	385.927	630.357	436.547	398.245	612.845	379.776	0.000	1258.503	1335.093
14	469.296	971.327	1215.826	1288.071	1718.282	1289.896	1442.322	926.615	1517.543	1086.190	1209.800	1475.428	1072.451	0.000	641.556
20	553.078	1068.783	1396.395	1391.646	1908.485	1317.890	1642.807	962.683	1707.702	1126.649	1256.202	1665.588	1253.029	254.373	0.000
[*,*,2]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	952.808	668.513	736.236	1121.963	900.626	876.064	537.382	924.561	819.436	645.779	873.311	628.718	606.798	0
2	360.089	0.000	656.922	725.415	1321.269	685.717	1118.337	322.546	1147.998	604.735	533.122	1096.067	983.157	988.670	1003.086
3	334.571	486.919	0.000	67.372	723.725	338.174	447.527	525.552	473.074	256.760	503.932	421.758	741.536	1302.849	1382.011
4	333.209	492.645	165.560	0.000	719.157	344.036	443.011	531.001	468.566	261.890	509.124	417.255	737.000	1310.375	1388.001
5	516.074	947.296	493.698	561.805	0.000	555.889	463.482	985.944	262.955	717.179	940.164	162.175	757.474	1675.370	1851.239
6	484.685	510.855	600.162	516.066	1105.310	0.000	877.610	589.789	903.241	320.807	800.415	852.026	1079.882	1516.901	1407.033
7	383.857	938.798	491.251	559.073	360.709	716.834	0.000	942.198	237.646	748.055	937.720	313.218	566.611	1415.908	1843.156
8	191.655	415.392	334.258	402.500	1040.250	363.168	781.909	0.000	807.379	282.039	210.488	756.023	659.387	987.898	1176.072
9	419.686	1006.867	559.434	627.362	379.701	735.611	268.712	1010.207	0.000	816.201	1005.873	331.949	635.017	1500.802	1915.205
10	348.335	338.211	345.001	256.095	899.468	189.112	622.513	377.087	648.003	0.000	530.769	596.655	916.778	1332.671	1227.884
11	325.637	550.885	123.769	191.843	848.092	461.957	571.357	545.030	596.865	380.575	0.000	545.530	865.541	1275.936	1459.195
12	437.762	856.622	408.949	476.676	426.343	643.648	301.176	894.872	176.985	665.814	855.488	0.000	595.297	1525.197	1759.116
13	392.392	615.409	168.076	236.237	712.123	506.261	435.787	653.974	461.302	424.904	614.604	409.954	0.000	1429.028	1513.762
14	474.046	1050.996	1193.782	1267.753	1763.601	1223.131	1455.083	864.954	1590.507	1095.706	1079.235	1557.838	1118.207	0.000	897.614
20	560.504	1067.584	1252.318	1326.251	1911.843	1290.836	1616.197	931.422	1738.478	1109.734	1137.759	1705.812	1257.932	231.820	0.000
[*,*,3]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	1014.234	638.823	794.036	1183.778	935.181	927.793	586.432	964.892	851.949	619.782	915.613	490.994	605.982	0
2	370.181	0.000	771.378	926.012	1371.079	710.425	1100.461	361.740	1122.084	627.250	626.453	1078.720	821.706	975.270	936.089
3	348.719	500.294	0.000	147.159	728.105	347.166	436.730	550.367	468.762	263.590	606.516	419.408	748.480	1312.342	1415.294
4	350.620	514.988	161.703	0.000	736.283	362.116	445.297	564.612	477.376	277.595	619.756	428.076	756.848	1325.989	1436.599
5	472.894	950.114	502.259	656.874	0.000	543.204	521.255	1000.229	296.302	732.921	1061.582	180.968	832.304	1546.409	1804.215
6	469.780	505.447	529.660	684.698	1089.250	0.000	813.324	566.162	845.359	264.012	830.668	796.032	1026.873	1529.228	1421.324
7	359.295	911.763	463.859	617.985	379.827	681.010	0.000	885.245	236.645	727.451	918.666	289.492	597.939	1315.651	1768.788
8	186.097	427.772	409.210	562.215	1038.027	348.477	746.682	0.000	778.626	265.491	264.292	729.159	459.922	972.918	1262.751
9	410.749	1021.484	572.474	726.272	459.730	761.742	313.953	994.168	0.000	836.074	1022.568	370.156	706.230	1420.659	1882.923
10	352.866	361.095	306.425	462.257	883.102	192.185	590.428	411.371	622.389	0.000	609.229	572.944	805.309	1314.053	1281.435
11	351.537	573.339	144.895	296.852	873.167	494.450	581.664	554.979	613.727	410.985	0.000	564.422	808.057	1317.073	1479.607
12	386.043	831.748	383.779	537.320	470.040	653.265	340.158	881.701	214.002	647.371	938.145	0.000	651.325	1365.901	1688.636
13	346.031	595.463	147.416	302.307	732.919	494.668	441.821	645.849	473.886	411.402	702.910	424.570	0.000	1297.233	1498.969
14	458.437	1140.810	1187.747	1227.184	1755.224	1161.403	1422.716	821.010	1505.914	1080.307	1088.504	1462.550	1041.137	0.000	527.431
20	530.610	1128.897	1397.472	1401.091	1964.799	1335.378	1623.305	988.161	1715.548	1157.225	1234.343	1672.187	1250.833	235.642	0.000
[*,*,4]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	1054.752	633.810	725.293	1105.606	1002.946	891.321	582.231	976.291	903.349	622.383	946.459	483.149	598.544	0
2	367.736	0.000	740.606	832.323	1327.787	754.266	1149.163	333.369	1183.626	654.903	555.452	1146.794	815.809	986.114	863.682
3	383.584	603.666	0.000	89.539	685.875	404.691	444.652	638.338	505.340	447.018	599.352	475.529	693.130	1366.620	1418.044
4	379.452	594.811	154.426	0.000	677.083	395.862	435.821	629.509	496.518	438.200	590.514	466.718	684.308	1358.969	1410.917
5	475.818	901.063	568.801	659.796	0.000	517.385	509.627	938.081	282.236	663.410	898.946	167.641	758.046	1559.581	1676.283
6	434.356	523.527	536.768	549.125	1050.026	0.000	818.151	566.042	878.878	285.721	701.269	849.143	960.990	1469.331	1349.934
7	363.330	903.479	462.996	554.395	403.515	679.492	0.000	922.621	252.542	759.596	899.057	330.567	526.306	1330.733	1680.228
8	194.909	464.957	406.447	497.410	1046.498	420.710	812.858	0.000	873.579	321.049	221.955	843.836	481.523	988.114	1095.540
9	417.035	1020.169	576.170	667.381	475.996	752.616	312.081	1041.381	0.000	898.650	1022.346	403.381	639.335	1438.212	1792.009
10	324.394	336.450	308.930	321.732	832.801	197.893	590.632	379.288	651.472	0.000	473.697	621.829	733.800	1245.703	1159.391
11	377.265	599.090	183.826	273.937	869.855	554.823	629.099	633.429	689.683	455.013	0.000	659.731	853.959	1362.117	1412.950
12	394.414	869.358	428.307	519.037	391.935	622.371	341.964	903.525	212.196	725.092	864.694	0.000	590.379	1386.392	1645.009
13	355.127	590.536	150.014	242.136	673.709	546.303	432.366	625.442	493.079	446.953	586.370	463.298	0.000	1324.840	1408.350
14	479.410	1068.153	1259.843	1343.559	1738.372	1257.810	1544.193	869.193	1594.228	1081.252	1114.676	1548.607	1119.555	0.000	515.087
20	0.000	980.811	1208.611	1292.491	1787.031	1187.311	1592.191	828.287	1642.321	1003.370	1058.700	1596.567	1235.125	252.427	0.000
[*,*,5]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	1026.771	631.856	698.880	1124.191	959.500	890.242	577.317	968.044	864.369	613.541	906.297	472.004	576.412	0
2	366.285	0.000	717.181	755.203	1376.545	730.961	1160.644	348.931	1209.587	636.018	571.718	1177.643	815.806	1017.919	849.524
3	361.976	486.882	0.000	66.438	683.336	326.494	473.523	517.059	510.277	231.627	596.391	448.517	691.305	1318.289	1255.090
4	356.900	483.884	158.836	0.000	675.509	323.715	465.686	513.902	502.437	228.541	592.370	440.671	683.462	1315.754	1251.694
5	444.436	915.131	528.098	595.046	0.000	499.676	487.289	945.404	257.698	659.864	1036.718	154.145	705.047	1453.087	1695.269
6	489.918	570.986	575.450	471.976	1087.594	0.000	882.221	602.744	918.977	317.367	825.475	857.239	1070.333	1546.399	1337.750
7	343.000	870.934	453.745	520.801	377.187	678.968	0.000	886.812	257.167	685.437	923.193	290.285	501.635	1245.701	1650.341
8	187.339	449.674	368.080	406.014	1020.843	382.028	815.846	0.000	852.529	287.044	222.729	790.670	466.111	946.868	1096.523
9	385.015	954.645	537.446	604.516	416.710	718.340	297.823	970.524	0.000	769.140	1006.896	329.651	585.345	1326.074	1736.961
10	363.916	334.439	320.982	218.437	838.611	193.932	628.256	364.075	664.930	0.000	587.114	603.041	845.940	1305.474	1093.617
11	391.085	548.729	145.293	212.073	828.683	472.132	618.816	578.918	655.573	377.062	0.000	593.828	836.607	1375.115	1315.480
12	368.262	791.529	374.243	441.192	365.217	626.742	333.143	821.629	192.309	605.995	891.893	0.000	550.883	1293.936	1569.487
13	334.558	576.532	159.507	226.829	669.188	486.004	459.287	606.841	496.019	391.151	677.659	434.227	0.000	1239.740	1343.562
14	488.989	1139.711	1279.527	1341.192	1805.042	1290.527	1534.312	890.975	1638.136	1156.671	1132.181	1604.417	1143.226	0.000	522.110
20	530.394	1086.194	1194.038	1255.980	1805.704	1226.625	1589.269	821.876	1637.873	1117.750	1046.365	1604.152	1242.250	238.802	0.000
															
[*,*,6]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	956.259	568.178	636.442	1190.256	887.052	862.733	564.665	983.106	790.396	574.905	872.993	413.060	587.341	0
2	348.687	0.000	721.689	739.084	1475.003	703.812	1129.564	325.630	1256.105	607.231	568.154	1115.718	764.897	956.205	801.307
3	310.717	422.688	0.000	67.327	768.011	318.748	487.737	465.612	607.263	222.203	508.086	497.890	705.297	1201.838	1145.114
4	311.340	433.097	164.830	0.000	760.401	329.087	480.117	475.634	599.653	232.124	517.296	490.273	714.953	1210.978	1157.470
5	441.423	904.618	539.754	607.570	0.000	540.416	481.678	947.264	252.924	688.042	989.770	153.345	728.834	1446.416	1662.061
6	428.487	581.870	525.762	444.020	1169.826	0.000	841.257	624.665	961.491	360.159	745.352	851.497	942.594	1430.675	1325.728
7	339.129	824.825	436.589	504.662	370.906	686.320	0.000	867.477	230.451	658.870	899.844	286.953	523.981	1248.089	1581.704
8	179.207	410.293	395.308	412.840	1141.802	378.159	809.855	0.000	930.304	281.477	242.068	820.129	439.106	937.063	1069.600
9	389.673	929.827	541.354	609.320	439.537	755.378	312.766	972.349	0.000	763.736	1004.485	356.015	628.543	1348.351	1686.690
10	324.446	321.859	312.936	231.693	910.511	196.705	628.756	364.804	749.155	0.000	532.970	639.035	730.067	1224.805	1065.202
11	331.091	523.056	153.208	220.815	921.338	472.565	640.967	543.912	760.503	375.764	0.000	651.107	752.691	1248.442	1267.591
12	0.000	775.097	386.410	454.210	442.375	705.840	328.330	817.562	282.197	608.932	859.574	0.000	575.490	1297.585	1530.676
13	324.770	12798.208	155.028	223.365	757.682	473.778	477.318	585.908	596.908	377.241	628.659	487.483	0.000	1226.089	1290.240
14	500.160	1122.968	1252.431	1321.436	1862.264	1324.836	1496.247	916.539	1659.145	1134.433	1165.270	1533.724	1091.643	0.000	450.966
20	566.452	1028.105	1288.581	1243.423	1973.072	1233.262	1615.650	841.086	1739.632	1036.871	1088.490	1613.583	1268.410	237.607	0.000
															
[*,*,7]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	974.468	586.315	649.058	1134.620	926.483	840.989	614.602	997.551	817.614	645.579	870.504	441.097	582.943	0
2	364.908	0.000	821.991	802.238	1413.574	769.744	1165.363	345.429	1267.918	660.844	579.559	1205.430	809.281	965.645	791.682
3	315.687	441.949	0.000	62.165	713.489	340.110	437.650	500.562	573.677	231.290	492.420	443.578	722.178	1214.232	1191.230
4	311.626	440.360	149.626	0.000	703.892	338.422	427.983	498.602	564.070	229.411	490.226	433.916	720.103	1213.070	1189.084
5	447.180	903.769	539.947	602.412	0.000	599.059	478.197	962.319	264.233	685.637	954.300	160.640	854.267	1453.024	1655.408
6	457.224	474.229	567.626	494.682	1031.808	0.000	846.201	533.021	899.346	251.090	764.801	770.059	994.515	1470.551	1223.429
7	334.329	799.804	411.782	474.596	390.955	751.904	0.000	858.541	245.610	643.072	850.608	280.848	624.146	1237.773	1546.966
8	187.367	437.129	474.805	455.922	1077.363	424.196	808.349	0.000	944.782	315.133	233.961	814.281	463.697	953.385	1103.811
9	376.058	882.815	494.751	557.545	438.328	791.848	269.472	941.502	0.000	726.042	933.557	328.228	707.104	1319.228	1633.148
10	327.956	324.918	316.536	243.048	871.958	210.588	595.054	383.739	731.847	0.000	513.547	601.026	743.272	1235.482	1072.721
11	370.544	615.299	238.902	301.153	953.319	582.621	679.173	672.941	813.955	472.987	0.000	684.976	857.919	1345.852	1365.163
12	373.856	767.825	379.278	441.768	411.969	719.705	332.767	826.160	272.423	610.726	817.984	0.000	708.904	1321.049	1513.515
13	324.437	532.730	144.803	207.890	699.506	484.995	423.460	591.767	559.659	376.217	583.916	429.404	0.000	1226.941	1294.431
14	499.039	1133.866	1310.379	1384.943	1827.765	1352.763	1538.822	933.831	1681.972	1162.310	1140.574	1619.446	1148.139	0.000	475.448
20	532.860	1034.717	1252.784	1300.606	1911.666	1274.202	1620.356	880.337	1765.542	1053.712	1087.890	1702.895	1236.594	240.803	0.000
															
[*,*,8]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	1017.682	635.948	697.621	1126.110	971.916	858.219	591.483	955.020	869.802	643.456	916.808	473.218	578.915	0
2	352.800	0.000	806.799	774.067	1388.533	747.883	1143.232	344.863	1226.725	645.947	572.685	1142.929	815.094	989.730	853.138
3	424.679	439.093	0.000	61.311	691.722	335.626	453.704	492.426	506.250	233.750	720.150	468.028	814.974	1411.348	1214.375
4	424.351	446.259	183.133	0.000	677.792	342.678	439.652	499.154	492.210	240.424	726.872	454.005	801.063	1418.067	1219.754
5	477.366	916.536	553.298	614.842	0.000	524.398	498.477	969.685	256.473	707.020	1220.099	159.235	859.274	1539.900	1698.168
6	463.156	522.541	570.207	456.904	1006.221	0.000	826.649	575.477	823.320	291.394	803.189	784.964	1036.834	1493.554	1312.480
7	345.686	826.200	427.128	488.960	367.348	685.257	0.000	879.417	236.579	660.883	961.311	308.174	605.685	1259.842	1609.436
8	175.522	425.955	460.710	428.669	1034.262	402.989	798.153	0.000	850.742	300.932	227.708	812.577	470.031	919.478	1126.629
9	139.009	926.551	527.299	589.032	425.944	744.163	282.176	979.607	0.000	761.096	1069.304	366.949	705.514	1358.263	1707.484
10	373.476	13645.443	350.026	236.981	845.249	210.985	606.411	393.301	659.020	0.000	621.011	620.869	863.340	1316.610	1119.226
11	531.903	679.247	297.237	359.017	989.246	639.902	756.038	731.171	808.583	536.280	0.000	769.975	1113.289	1659.594	1480.983
12	399.345	793.707	394.061	455.606	372.048	638.143	339.241	846.564	186.719	628.043	1094.953	0.000	699.847	1381.819	1576.842
13	316.146	561.375	162.430	224.337	696.264	498.057	458.411	614.760	510.945	396.193	842.505	472.699	0.000	1200.027	1352.786
14	498.089	1128.721	1305.634	1369.479	1805.038	1352.055	1557.292	937.583	1643.198	1165.546	1189.099	1559.431	1146.118	0.000	513.760
20	561.493	1008.850	1317.817	1259.036	1853.866	1243.511	1629.767	878.748	1691.316	1032.374	1127.863	1607.116	1248.945	251.122	0.000
															
[*,*,9]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	987.100	604.190	665.848	1098.385	942.331	838.811	588.367	1017.027	822.619	660.645	925.895	449.812	562.898 0
2	352.923	0.000	867.433	775.911	1344.684	763.207	1126.677	334.184	1278.565	643.499	565.763	1128.506	788.259	1013.586	830.633
3	297.227	400.777	0.000	61.194	667.926	338.003	455.362	450.363	550.890	218.294	462.215	473.894	684.720	1143.585	1168.965
4	297.211	409.132	162.165	0.000	644.579	345.829	431.798	458.277	527.513	226.056	469.647	450.412	692.273	1153.243	1184.789
5	444.060	886.607	527.099	588.610	0.000	523.913	481.133	935.720	277.233	668.413	947.379	155.059	747.324	1452.621	1663.357
6	426.510	501.138	528.014	436.076	1010.094	0.000	797.672	550.100	893.661	276.229	727.877	816.367	950.477	1426.326	1261.763
7	335.266	804.508	421.813	483.551	379.678	678.580	0.000	853.650	251.716	640.159	865.314	309.898	526.636	1220.925	1574.792
8	179.971	433.712	533.013	440.864	1014.557	428.783	802.650	0.000	898.547	308.994	231.358	821.309	453.891	914.819	1088.156
9	368.698	866.961	484.352	546.181	407.397	705.858	264.424	916.183	0.000	702.663	927.957	337.293	589.547	1284.060	1645.268
10	327.415	328.470	327.717	235.935	810.722	223.472	597.450	377.698	693.534	0.000	527.749	616.195	750.323	1215.029	1095.411
11	353.666	663.047	289.058	350.660	960.180	633.512	749.044	643.863	843.655	512.948	0.000	767.110	822.752	1291.943	1433.772
12	367.508	769.009	385.718	447.177	343.554	642.909	326.063	817.844	226.542	604.382	829.137	0.000	592.263	1288.177	1536.200
13	309.961	536.564	154.083	215.990	670.532	492.100	458.067	585.962	553.509	372.382	597.755	476.560	0.000	1166.420	1301.874
14	516.636	1100.516	1337.463	1375.266	1827.445	1348.809	1588.050	961.598	1761.211	1126.236	1178.811	1611.665	1191.121	0.000	491.681
20	563.762	1012.625	1344.046	1276.697	1829.410	1249.664	1622.696	858.947	1763.549	1024.737	1080.850	1612.470	1271.394	243.293	0.000
															
[*,*,10]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	20:=
1	0.000	1081.280	647.498	715.714	1101.890	1022.806	870.034	616.602	968.400	906.860	679.452	955.898	478.419	565.682	0
2	353.252	0.000	715.272	768.533	1292.597	765.663	1136.864	336.840	1186.853	649.689	555.217	1118.104	796.275	1017.991	813.176
3	319.321	504.025	0.000	67.639	633.189	375.426	432.214	552.898	492.551	259.359	503.779	480.135	694.950	1205.958	1311.553
